Nom de la map
*La caverne oubliée
$
Liste des musiques
*Data/Musiques/Maxtor81-Arcaduis.ogg
$
Lumiere de base
*255 255 255 0 0
$
Liste des tilesets
*Data/Terrain/Herbes plaines/Herbes plaines
*Data/Decors/Mur de pierres/Mur de pierres
*Data/Decors/Feu de camp/Feu de camp
$
Liste des tilesets de l'herbe
*Data/Decors/Herbes/Herbe1
$
Liste des tilesets des monstres
*Data/Personnages/Monstres/MonstreTest.txt
$
Liste des entites monstres
* m0 $
* m0 $
* m0 $
* m0 $
* m0 $
$
Liste des événements
* e0 $ * i2 i57 i31 $
* e1 $ * i255 i255 i255 i64 i70 $ 
$
* s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t0 e1 | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s-1   | s-1   | s-1   | s-1   | s-1   | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   |
* s-1   | s-1   | s-1   | s-1   | s-1   | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s0 t3 | s-1   |
